COMPONENT PM10 (aerosol), day,Unnamed: 2
STATION AGIA SOFIA,,
20070921 00:00,29.0,1.0
20070922 00:00,28.0,1.0
20070923 00:00,28.0,1.0
20070924 00:00,47.0,1.0
20070925 00:00,-9999.0,0.0
20070926 00:00,46.0,1.0
20070927 00:00,43.0,1.0
20070928 00:00,54.0,1.0
20070929 00:00,51.0,1.0
20070930 00:00,-9999.0,0.0
20071001 00:00,-9999.0,0.0
20071002 00:00,49.0,1.0
20071003 00:00,-9999.0,0.0
20071004 00:00,-9999.0,0.0
20071005 00:00,-9999.0,0.0
20071006 00:00,-9999.0,0.0
20071007 00:00,-9999.0,0.0
20071008 00:00,-9999.0,0.0
20071009 00:00,60.0,1.0
20071010 00:00,42.0,1.0
20071011 00:00,46.0,1.0
20071012 00:00,39.0,1.0
20071013 00:00,35.0,1.0
20071014 00:00,20.0,1.0
20071015 00:00,30.0,1.0
20071016 00:00,-9999.0,0.0
20071017 00:00,-9999.0,0.0
20071018 00:00,82.0,1.0
20071019 00:00,-9999.0,0.0
20071020 00:00,28.0,1.0
20071021 00:00,25.0,1.0
20071022 00:00,28.0,1.0
20071023 00:00,29.0,1.0
20071024 00:00,31.0,1.0
20071025 00:00,51.0,1.0
20071026 00:00,41.0,1.0
20071027 00:00,44.0,1.0
20071028 00:00,50.0,1.0
20071029 00:00,-9999.0,0.0
20071030 00:00,37.0,1.0
20071031 00:00,49.0,1.0
20071101 00:00,58.0,1.0
20071102 00:00,48.0,1.0
20071103 00:00,43.0,1.0
20071104 00:00,47.0,1.0
20071105 00:00,28.0,1.0
20071106 00:00,27.0,1.0
20071107 00:00,37.0,1.0
20071108 00:00,-9999.0,0.0
20071109 00:00,-9999.0,0.0
20071110 00:00,36.0,1.0
20071111 00:00,31.0,1.0
20071112 00:00,-9999.0,0.0
20071113 00:00,28.0,1.0
20071114 00:00,-9999.0,0.0
20071115 00:00,75.0,1.0
20071116 00:00,-9999.0,0.0
20071117 00:00,48.0,1.0
20071118 00:00,30.0,1.0
20071119 00:00,-9999.0,0.0
20071120 00:00,-9999.0,0.0
20071121 00:00,-9999.0,0.0
20071122 00:00,-9999.0,0.0
20071123 00:00,71.0,1.0
20071124 00:00,-9999.0,0.0
20071125 00:00,-9999.0,0.0
20071126 00:00,89.0,1.0
20071127 00:00,19.0,1.0
20071128 00:00,28.0,1.0
20071129 00:00,39.0,1.0
20071130 00:00,-9999.0,0.0
20071201 00:00,40.0,1.0
20071202 00:00,50.0,1.0
20071203 00:00,-9999.0,0.0
20071204 00:00,-9999.0,0.0
20071205 00:00,22.0,1.0
20071206 00:00,27.0,1.0
20071207 00:00,38.0,1.0
20071208 00:00,-9999.0,0.0
20071209 00:00,-9999.0,0.0
20071210 00:00,83.0,1.0
20071211 00:00,-9999.0,0.0
20071212 00:00,-9999.0,0.0
20071213 00:00,39.0,1.0
20071214 00:00,29.0,1.0
20071215 00:00,35.0,1.0
20071216 00:00,37.0,1.0
20071217 00:00,-9999.0,0.0
20071218 00:00,44.0,1.0
20071219 00:00,-9999.0,0.0
20071220 00:00,-9999.0,0.0
20071221 00:00,-9999.0,0.0
20071222 00:00,-9999.0,0.0
20071223 00:00,-9999.0,0.0
20071224 00:00,-9999.0,0.0
20071225 00:00,-9999.0,0.0
20071226 00:00,-9999.0,0.0
20071227 00:00,-9999.0,0.0
20071228 00:00,-9999.0,0.0
20071229 00:00,-9999.0,0.0
20071230 00:00,-9999.0,0.0
20071231 00:00,-9999.0,0.0
20080101 00:00,-9999.0,0.0
20080102 00:00,42.0,1.0
20080103 00:00,-9999.0,0.0
20080104 00:00,-9999.0,0.0
20080105 00:00,-9999.0,0.0
20080106 00:00,-9999.0,0.0
20080107 00:00,-9999.0,0.0
20080108 00:00,-9999.0,0.0
20080109 00:00,-9999.0,0.0
20080110 00:00,-9999.0,0.0
20080111 00:00,-9999.0,0.0
20080112 00:00,-9999.0,0.0
20080113 00:00,-9999.0,0.0
20080114 00:00,-9999.0,0.0
20080115 00:00,-9999.0,0.0
20080116 00:00,-9999.0,0.0
20080117 00:00,-9999.0,0.0
20080118 00:00,-9999.0,0.0
20080119 00:00,-9999.0,0.0
20080120 00:00,71.0,1.0
20080121 00:00,-9999.0,0.0
20080122 00:00,-9999.0,0.0
20080123 00:00,31.0,1.0
20080124 00:00,64.0,1.0
20080125 00:00,77.0,1.0
20080126 00:00,-9999.0,0.0
20080127 00:00,-9999.0,0.0
20080128 00:00,-9999.0,0.0
20080129 00:00,33.0,1.0
20080130 00:00,-9999.0,0.0
20080131 00:00,-9999.0,0.0
20080201 00:00,-9999.0,0.0
20080202 00:00,-9999.0,0.0
20080203 00:00,82.0,1.0
20080204 00:00,-9999.0,0.0
20080205 00:00,-9999.0,0.0
20080206 00:00,62.0,1.0
20080207 00:00,98.0,1.0
20080208 00:00,51.0,1.0
20080209 00:00,36.0,1.0
20080210 00:00,39.0,1.0
20080211 00:00,-9999.0,0.0
20080212 00:00,-9999.0,0.0
20080213 00:00,-9999.0,0.0
20080214 00:00,-9999.0,0.0
20080215 00:00,-9999.0,0.0
20080216 00:00,-9999.0,0.0
20080217 00:00,-9999.0,0.0
20080218 00:00,-9999.0,0.0
20080219 00:00,-9999.0,0.0
20080220 00:00,-9999.0,0.0
20080221 00:00,-9999.0,0.0
20080222 00:00,-9999.0,0.0
20080223 00:00,-9999.0,0.0
20080224 00:00,-9999.0,0.0
20080225 00:00,-9999.0,0.0
20080226 00:00,-9999.0,0.0
20080227 00:00,-9999.0,0.0
20080228 00:00,-9999.0,0.0
20080229 00:00,-9999.0,0.0
20080301 00:00,-9999.0,0.0
20080302 00:00,-9999.0,0.0
20080303 00:00,-9999.0,0.0
20080304 00:00,-9999.0,0.0
20080305 00:00,-9999.0,0.0
20080306 00:00,-9999.0,0.0
20080307 00:00,-9999.0,0.0
20080308 00:00,-9999.0,0.0
20080309 00:00,-9999.0,0.0
20080310 00:00,-9999.0,0.0
20080311 00:00,-9999.0,0.0
20080312 00:00,-9999.0,0.0
20080313 00:00,-9999.0,0.0
20080314 00:00,-9999.0,0.0
20080315 00:00,-9999.0,0.0
20080316 00:00,-9999.0,0.0
20080317 00:00,-9999.0,0.0
20080318 00:00,72.0,1.0
20080319 00:00,57.0,1.0
20080320 00:00,39.0,1.0
20080321 00:00,64.0,1.0
20080322 00:00,52.0,1.0
20080323 00:00,65.0,1.0
20080324 00:00,118.0,1.0
20080325 00:00,26.0,1.0
20080326 00:00,37.0,1.0
20080327 00:00,85.0,1.0
20080328 00:00,53.0,1.0
20080329 00:00,59.0,1.0
20080330 00:00,63.0,1.0
20080331 00:00,70.0,1.0
20080401 00:00,73.0,1.0
20080402 00:00,68.0,1.0
20080403 00:00,60.0,1.0
20080404 00:00,53.0,1.0
20080405 00:00,49.0,1.0
20080406 00:00,51.0,1.0
20080407 00:00,65.0,1.0
20080408 00:00,91.0,1.0
20080409 00:00,75.0,1.0
20080410 00:00,82.0,1.0
20080411 00:00,96.0,1.0
20080412 00:00,105.0,1.0
20080413 00:00,132.0,1.0
20080414 00:00,139.0,1.0
20080415 00:00,45.0,1.0
20080416 00:00,38.0,1.0
20080417 00:00,63.0,1.0
20080418 00:00,55.0,1.0
20080419 00:00,69.0,1.0
20080420 00:00,89.0,1.0
20080421 00:00,117.0,1.0
20080422 00:00,114.0,1.0
20080423 00:00,45.0,1.0
20080424 00:00,35.0,1.0
20080425 00:00,28.0,1.0
20080426 00:00,33.0,1.0
20080427 00:00,35.0,1.0
20080428 00:00,49.0,1.0
20080429 00:00,63.0,1.0
20080430 00:00,48.0,1.0
20080501 00:00,46.0,1.0
20080502 00:00,72.0,1.0
20080503 00:00,38.0,1.0
20080504 00:00,33.0,1.0
20080505 00:00,42.0,1.0
20080506 00:00,39.0,1.0
20080507 00:00,46.0,1.0
20080508 00:00,66.0,1.0
20080509 00:00,69.0,1.0
20080510 00:00,43.0,1.0
20080511 00:00,32.0,1.0
20080512 00:00,44.0,1.0
20080513 00:00,49.0,1.0
20080514 00:00,56.0,1.0
20080515 00:00,53.0,1.0
20080516 00:00,51.0,1.0
20080517 00:00,53.0,1.0
20080518 00:00,56.0,1.0
20080519 00:00,68.0,1.0
20080520 00:00,66.0,1.0
20080521 00:00,114.0,1.0
20080522 00:00,67.0,1.0
20080523 00:00,48.0,1.0
20080524 00:00,35.0,1.0
20080525 00:00,36.0,1.0
20080526 00:00,59.0,1.0
20080527 00:00,56.0,1.0
20080528 00:00,92.0,1.0
20080529 00:00,104.0,1.0
20080530 00:00,48.0,1.0
20080531 00:00,44.0,1.0
20080601 00:00,56.0,1.0
20080602 00:00,56.0,1.0
20080603 00:00,51.0,1.0
20080604 00:00,38.0,1.0
20080605 00:00,61.0,1.0
20080606 00:00,-9999.0,0.0
20080607 00:00,-9999.0,0.0
20080608 00:00,-9999.0,0.0
20080609 00:00,-9999.0,0.0
20080610 00:00,-9999.0,0.0
20080611 00:00,-9999.0,0.0
20080612 00:00,61.0,1.0
20080613 00:00,76.0,1.0
20080614 00:00,47.0,1.0
20080615 00:00,30.0,1.0
20080616 00:00,31.0,1.0
20080617 00:00,-9999.0,0.0
20080618 00:00,-9999.0,0.0
20080619 00:00,59.0,1.0
20080620 00:00,46.0,1.0
20080621 00:00,55.0,1.0
20080622 00:00,67.0,1.0
20080623 00:00,57.0,1.0
20080624 00:00,63.0,1.0
20080625 00:00,80.0,1.0
20080626 00:00,71.0,1.0
20080627 00:00,78.0,1.0
20080628 00:00,65.0,1.0
20080629 00:00,47.0,1.0
20080630 00:00,54.0,1.0
20080701 00:00,52.0,1.0
20080702 00:00,76.0,1.0
20080703 00:00,62.0,1.0
20080704 00:00,55.0,1.0
20080705 00:00,40.0,1.0
20080706 00:00,32.0,1.0
20080707 00:00,49.0,1.0
20080708 00:00,56.0,1.0
20080709 00:00,69.0,1.0
20080710 00:00,43.0,1.0
20080711 00:00,50.0,1.0
20080712 00:00,46.0,1.0
20080713 00:00,45.0,1.0
20080714 00:00,40.0,1.0
20080715 00:00,58.0,1.0
20080716 00:00,-9999.0,0.0
20080717 00:00,45.0,1.0
20080718 00:00,50.0,1.0
20080719 00:00,58.0,1.0
20080720 00:00,60.0,1.0
20080721 00:00,68.0,1.0
20080722 00:00,69.0,1.0
20080723 00:00,31.0,1.0
20080724 00:00,35.0,1.0
20080725 00:00,28.0,1.0
20080726 00:00,37.0,1.0
20080727 00:00,42.0,1.0
20080728 00:00,48.0,1.0
20080729 00:00,64.0,1.0
20080730 00:00,52.0,1.0
20080731 00:00,-9999.0,0.0
20080801 00:00,-9999.0,0.0
20080802 00:00,75.0,1.0
20080803 00:00,50.0,1.0
20080804 00:00,50.0,1.0
20080805 00:00,59.0,1.0
20080806 00:00,53.0,1.0
20080807 00:00,44.0,1.0
20080808 00:00,31.0,1.0
20080809 00:00,27.0,1.0
20080810 00:00,26.0,1.0
20080811 00:00,27.0,1.0
20080812 00:00,36.0,1.0
20080813 00:00,46.0,1.0
20080814 00:00,50.0,1.0
20080815 00:00,51.0,1.0
20080816 00:00,56.0,1.0
20080817 00:00,43.0,1.0
20080818 00:00,41.0,1.0
20080819 00:00,44.0,1.0
20080820 00:00,50.0,1.0
20080821 00:00,48.0,1.0
20080822 00:00,59.0,1.0
20080823 00:00,72.0,1.0
20080824 00:00,55.0,1.0
20080825 00:00,50.0,1.0
20080826 00:00,43.0,1.0
20080827 00:00,32.0,1.0
20080828 00:00,35.0,1.0
20080829 00:00,36.0,1.0
20080830 00:00,45.0,1.0
20080831 00:00,40.0,1.0
20080901 00:00,27.0,1.0
20080902 00:00,36.0,1.0
20080903 00:00,38.0,1.0
20080904 00:00,37.0,1.0
20080905 00:00,51.0,1.0
20080906 00:00,53.0,1.0
20080907 00:00,51.0,1.0
20080908 00:00,46.0,1.0
20080909 00:00,56.0,1.0
20080910 00:00,43.0,1.0
20080911 00:00,48.0,1.0
20080912 00:00,52.0,1.0
20080913 00:00,50.0,1.0
20080914 00:00,49.0,1.0
20080915 00:00,41.0,1.0
20080916 00:00,52.0,1.0
20080917 00:00,32.0,1.0
20080918 00:00,32.0,1.0
20080919 00:00,49.0,1.0
20080920 00:00,50.0,1.0
20080921 00:00,27.0,1.0
20080922 00:00,38.0,1.0
20080923 00:00,35.0,1.0
20080924 00:00,44.0,1.0
20080925 00:00,40.0,1.0
20080926 00:00,31.0,1.0
20080927 00:00,45.0,1.0
20080928 00:00,38.0,1.0
20080929 00:00,49.0,1.0
20080930 00:00,64.0,1.0
20081001 00:00,70.0,1.0
20081002 00:00,74.0,1.0
20081003 00:00,89.0,1.0
20081004 00:00,77.0,1.0
20081005 00:00,27.0,1.0
20081006 00:00,57.0,1.0
20081007 00:00,46.0,1.0
20081008 00:00,66.0,1.0
20081009 00:00,51.0,1.0
20081010 00:00,59.0,1.0
20081011 00:00,70.0,1.0
20081012 00:00,58.0,1.0
20081013 00:00,60.0,1.0
20081014 00:00,74.0,1.0
20081015 00:00,89.0,1.0
20081016 00:00,95.0,1.0
20081017 00:00,87.0,1.0
20081018 00:00,69.0,1.0
20081019 00:00,43.0,1.0
20081020 00:00,75.0,1.0
20081021 00:00,70.0,1.0
20081022 00:00,58.0,1.0
20081023 00:00,63.0,1.0
20081024 00:00,64.0,1.0
20081025 00:00,46.0,1.0
20081026 00:00,46.0,1.0
20081027 00:00,45.0,1.0
20081028 00:00,42.0,1.0
20081029 00:00,51.0,1.0
20081030 00:00,74.0,1.0
20081031 00:00,79.0,1.0
20081101 00:00,75.0,1.0
20081102 00:00,84.0,1.0
20081103 00:00,96.0,1.0
20081104 00:00,94.0,1.0
20081105 00:00,98.0,1.0
20081106 00:00,104.0,1.0
20081107 00:00,78.0,1.0
20081108 00:00,49.0,1.0
20081109 00:00,49.0,1.0
20081110 00:00,65.0,1.0
20081111 00:00,61.0,1.0
20081112 00:00,71.0,1.0
20081113 00:00,75.0,1.0
20081114 00:00,70.0,1.0
20081115 00:00,68.0,1.0
20081116 00:00,72.0,1.0
20081117 00:00,78.0,1.0
20081118 00:00,34.0,1.0
20081119 00:00,30.0,1.0
20081120 00:00,49.0,1.0
20081121 00:00,80.0,1.0
20081122 00:00,32.0,1.0
20081123 00:00,30.0,1.0
20081124 00:00,50.0,1.0
20081125 00:00,104.0,1.0
20081126 00:00,66.0,1.0
20081127 00:00,33.0,1.0
