"""28-02-2023""",0.9,0.5,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.8,0.9,1.0,0.7,1.1,0.7,0.6,0.7,0.7,0.9,0.7,0.5,0.4,0.3
"""01-03-2023""",0.3,0.3,0.3,0.2,0.3,0.4,0.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.6,0.6,0.5,0.5
"""02-03-2023""",0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.7,0.8,0.6,0.7,-9999.0,0.5,0.5,0.5,0.4,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.4
"""03-03-2023""",0.4,0.4,0.3,0.3,0.3,0.3,0.6,0.9,1.1,0.9,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.6,0.7,1.0,1.2,1.2,0.8
"""04-03-2023""",0.7,0.6,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.9,0.9,0.6,0.6
"""05-03-2023""",0.7,0.6,0.5,0.4,0.4,0.5,0.6,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.7,0.7,0.7,0.6
"""06-03-2023""",0.5,0.4,0.5,0.4,0.4,0.5,1.0,1.8,1.7,1.0,0.8,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.8,0.8,0.7,0.6,0.5,0.6
"""07-03-2023""",0.5,0.4,0.4,0.4,0.3,0.4,0.8,1.3,1.5,1.1,0.7,0.6,0.4,0.4,0.5,0.4,0.4,0.6,0.8,0.8,1.2,1.2,0.9,0.9
"""08-03-2023""",0.8,0.6,0.6,0.5,0.4,0.5,1.0,1.4,1.2,1.1,0.8,0.7,0.7,0.5,0.5,0.5,0.5,0.4,0.8,1.4,1.6,1.5,1.4,1.2
"""09-03-2023""",1.1,0.8,0.6,0.4,0.4,0.6,0.9,1.4,1.6,0.9,0.6,0.6,0.5,0.5,0.6,0.5,0.6,0.7,0.8,1.5,1.6,1.6,1.5,1.1
"""10-03-2023""",1.0,0.8,0.5,0.4,0.5,0.5,0.9,1.3,1.5,1.5,1.1,0.7,0.9,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.9,1.3,1.1,0.9
"""11-03-2023""",1.0,0.8,0.4,0.3,0.3,0.4,0.6,0.9,0.9,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.8,0.6,0.6,1.6,1.6,0.9,0.4
"""12-03-2023""",0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.5,0.5
"""13-03-2023""",0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.8,0.7,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.7,0.9,1.0,1.1,1.2,0.9,0.8
"""14-03-2023""",0.6,0.5,0.4,0.3,0.3,0.4,0.7,1.5,1.5,1.1,0.6,0.5,0.5,0.6,0.4,0.4,0.4,0.5,0.5,0.7,0.8,1.1,1.0,0.9
"""15-03-2023""",0.6,0.5,0.5,0.4,0.3,0.4,0.5,0.8,1.1,0.9,0.9,0.7,0.8,0.7,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1.2,1.1,0.8
"""16-03-2023""",0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.3
"""17-03-2023""",0.3,0.3,0.3,0.2,0.3,0.3,0.7,1.0,0.8,0.6,0.6,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.6,0.8
"""18-03-2023""",0.7,0.6,0.6,0.4,0.4,0.3,0.4,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.6,0.8,1.1,1.2,1.2,1.0,1.0
"""19-03-2023""",1.0,0.9,0.7,0.6,0.6,0.6,0.8,0.8,0.8,0.7,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.6,1.0,1.2,1.3,1.3,0.9
"""20-03-2023""",0.8,0.6,0.5,0.4,0.4,0.6,1.1,1.5,1.6,1.0,0.7,0.6,0.5,0.5,0.4,0.5,0.4,0.4,0.4,1.0,1.3,1.3,1.3,1.2
"""21-03-2023""",1.0,0.8,0.6,0.5,0.4,0.6,0.7,1.4,1.2,0.9,0.9,0.7,0.5,0.6,0.7,0.6,1.0,0.8,0.9,0.9,1.6,1.6,1.3,1.3
"""22-03-2023""",1.2,0.9,0.8,0.7,0.6,0.5,0.6,1.1,1.1,0.9,0.5,0.5,0.4,0.4,0.5,0.4,0.6,0.8,1.0,1.4,1.7,1.6,1.5,1.3
"""23-03-2023""",1.1,0.7,0.6,0.5,0.4,0.5,0.9,1.3,1.2,0.9,0.5,0.5,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.7,1.0,1.0,0.9
"""24-03-2023""",0.7,0.5,0.5,0.4,0.4,0.4,0.7,1.3,1.1,0.6,0.5,0.5,0.5,0.6,0.6,0.5,0.3,0.4,0.4,0.4,0.8,1.2,1.2,1.0
"""25-03-2023""",0.9,0.6,0.6,0.5,0.4,0.4,0.4,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.7,1.1,1.2,0.9
"""26-03-2023""",0.8,0.7,0.6,0.6,0.5,0.6,0.5,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.7,1.0,0.9,0.7,0.7
"""27-03-2023""",0.6,0.3,0.3,0.4,0.4,0.7,0.9,1.4,1.3,0.7,-9999.0,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.4,0.5,0.7,0.9,0.7,0.4
"""28-03-2023""",0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2
"""29-03-2023""",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.7,1.3
"""30-03-2023""",0.9,0.7,0.5,0.4,0.4,0.4,0.8,1.1,1.7,1.5,0.9,0.9,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,1.0,0.8,0.7
